vehicle_id,trip_id,datetime,total_distance_km,duration_min,avg_speed_kmh,max_speed_kmh,std_speed,parking_anomaly,parking_duration_min,speed_anomaly,speed_spikes,route_deviation,circuity_ratio,coordinated_movement,avg_bearing_change,restricted_zone_entry,rz_hit_count,risk_score,risk_level
20000589,1372640000000000000,2013-07-01 00:00:58,2.65,5.5,28.9,68.2,23.4,0,0.8,0,0,0,1.49,0,105.9,0,0,19.3,LOW
20000596,1372640000000000000,2013-07-01 00:08:23,3.46,4.5,46.1,77.0,19.6,0,0.2,0,0,0,1.39,0,25.7,0,0,22.2,LOW
20000320,1372640000000000000,2013-07-01 00:02:31,17.63,16.0,66.1,1136.7,187.2,0,1.0,1,2,1,69.84,0,37.1,0,0,48.5,MEDIUM
20000520,1372640000000000000,2013-07-01 00:00:54,7.97,10.5,45.5,532.2,102.9,0,1.5,1,2,0,2.69,0,73.7,0,0,31.8,MEDIUM
20000337,1372640000000000000,2013-07-01 00:04:51,4.81,7.0,41.3,72.3,22.9,0,0.2,0,0,0,1.39,0,58.4,0,0,17.9,LOW
20000231,1372640000000000000,2013-07-01 00:02:45,5.57,6.2,53.5,78.8,18.0,0,0.0,0,0,0,1.45,0,64.5,0,0,14.8,LOW
20000456,1372640000000000000,2013-07-01 00:06:50,3.44,8.8,23.6,57.9,15.6,0,0.5,0,0,0,1.66,0,61.7,1,1,17.9,LOW
20000011,1372640000000000000,2013-07-01 00:08:19,2.64,8.2,19.2,52.4,17.4,0,1.8,0,0,0,1.46,0,122.6,1,2,21.9,LOW
20000403,1372640000000000000,2013-07-01 00:07:54,4.45,9.2,28.9,71.7,18.5,0,0.2,0,0,0,1.41,0,50.1,0,0,15.1,LOW
20000320,1372640000000000000,2013-07-01 00:18:25,1.81,4.5,24.2,74.5,19.7,0,0.5,0,0,0,1.53,0,39.3,0,0,18.8,LOW
20000233,1372640000000000000,2013-07-01 00:01:15,2.24,5.2,25.6,57.4,18.0,0,0.5,0,0,0,1.65,0,68.6,1,13,31.5,MEDIUM
20000520,1372640000000000000,2013-07-01 00:19:44,5.96,10.8,33.3,60.2,18.6,0,0.8,0,0,0,1.17,0,47.8,1,3,23.1,LOW
20000571,1372640000000000000,2013-07-01 00:09:03,5.83,7.8,45.1,98.7,26.5,0,0.2,1,4,0,1.55,0,51.6,1,15,38.7,MEDIUM
20000233,1372640000000000000,2013-07-01 00:29:55,3.93,8.2,28.6,48.3,16.2,0,0.2,0,0,0,1.51,0,63.2,1,12,29.2,LOW
20000231,1372640000000000000,2013-07-01 00:22:31,2.82,6.8,25.1,47.8,13.6,0,0.2,0,0,0,1.4,0,78.8,1,10,26.7,LOW
20000497,1372640000000000000,2013-07-01 00:13:30,16.28,15.8,62.0,917.9,163.4,0,4.2,1,4,1,4.41,0,99.3,0,0,44.9,MEDIUM
20000403,1372640000000000000,2013-07-01 00:28:01,10.59,16.0,39.7,108.7,38.9,1,5.2,1,19,0,1.99,0,64.4,0,0,30.6,MEDIUM
20000570,1372640000000000000,2013-07-01 00:38:55,1.86,4.5,24.8,48.7,15.0,0,0.2,0,0,0,2.02,0,135.9,0,0,16.5,LOW
20000005,1372640000000000000,2013-07-01 00:11:22,2.71,4.0,40.6,74.0,21.9,0,0.2,0,0,0,1.06,0,32.6,0,0,19.3,LOW
20000089,1372640000000000000,2013-07-01 00:39:41,1.47,2.0,44.2,66.8,11.5,0,0.0,0,0,0,1.31,0,87.3,0,0,9.6,LOW
20000423,1372640000000000000,2013-07-01 00:22:41,1.79,3.5,30.6,63.6,14.1,0,0.0,0,0,0,1.23,0,109.2,1,12,25.8,LOW
20000657,1372640000000000000,2013-07-01 00:07:34,6.89,10.5,39.4,84.4,26.0,0,0.8,1,2,0,1.34,0,66.0,0,0,22.8,LOW
20000320,1372640000000000000,2013-07-01 00:28:22,3.15,8.5,22.2,70.1,19.4,0,0.5,0,0,0,1.62,0,55.8,1,4,29.3,LOW
20000309,1372640000000000000,2013-07-01 00:52:40,2.48,4.8,31.3,68.0,20.3,0,0.5,0,0,0,1.13,0,67.8,1,3,23.8,LOW
20000596,1372640000000000000,2013-07-01 00:14:18,2.93,6.2,28.2,61.4,20.5,0,0.8,0,0,0,1.37,0,74.8,0,0,16.7,LOW
20000233,1372640000000000000,2013-07-01 00:38:12,0.02,1.8,0.8,1.7,0.6,0,1.8,0,0,0,2.83,0,108.9,0,0,13.3,LOW
20000161,1372640000000000000,2013-07-01 00:45:35,13.13,14.0,56.3,103.3,29.0,0,0.2,1,18,0,1.73,0,50.2,0,0,24.8,LOW
20000596,1372640000000000000,2013-07-01 01:01:39,4.07,7.0,34.9,56.0,17.0,0,0.5,0,0,0,1.66,0,46.1,1,13,30.9,MEDIUM
20000178,1372640000000000000,2013-07-01 00:47:15,1.73,4.2,24.5,54.0,16.7,0,0.8,0,0,0,1.25,0,99.1,1,8,28.4,LOW
20000235,1372640000000000000,2013-07-01 01:02:35,1.01,2.5,24.2,149.4,42.9,0,0.5,1,1,0,1.26,0,50.8,1,4,34.0,MEDIUM
20000653,1372640000000000000,2013-07-01 00:51:11,2.07,4.2,29.2,55.2,19.5,0,0.5,0,0,0,1.21,0,65.9,0,0,14.7,LOW
20000009,1372640000000000000,2013-07-01 00:51:15,5.34,11.0,29.1,145.5,28.5,0,1.0,1,1,0,1.24,0,47.6,1,12,37.3,MEDIUM
20000648,1372640000000000000,2013-07-01 00:10:53,4.55,9.2,29.5,85.3,24.3,0,1.8,0,3,0,1.3,0,100.9,1,16,38.3,MEDIUM
20000320,1372640000000000000,2013-07-01 00:59:59,4.73,8.8,32.4,74.3,17.6,0,0.5,0,0,0,1.66,0,55.0,0,0,16.2,LOW
20000005,1372640000000000000,2013-07-01 00:45:58,2.07,4.0,31.0,49.1,11.2,0,0.0,0,0,0,1.43,0,102.8,1,14,25.2,LOW
20000424,1372640000000000000,2013-07-01 00:50:48,12.57,10.0,75.4,146.4,46.5,0,0.2,1,18,0,1.51,0,53.4,0,0,23.4,LOW
20000010,1372640000000000000,2013-07-01 00:55:30,1.84,6.2,17.6,57.0,16.5,0,1.0,0,0,0,1.22,0,73.4,0,0,13.2,LOW
20000372,1372640000000000000,2013-07-01 00:35:02,1.84,4.2,25.9,43.8,14.0,0,0.2,0,0,0,1.1,0,67.9,1,12,25.2,LOW
20000686,1372640000000000000,2013-07-01 00:52:53,1.26,4.8,15.9,51.9,17.3,0,0.8,0,0,0,2.91,0,74.7,0,0,24.1,LOW
20000435,1372640000000000000,2013-07-01 00:22:45,9.14,17.2,31.8,99.9,31.0,0,3.8,1,8,0,1.8,0,72.3,0,0,28.1,LOW
20000657,1372640000000000000,2013-07-01 00:59:16,4.58,6.5,42.3,73.0,23.8,0,0.2,0,0,0,1.02,0,9.1,0,0,28.2,LOW
20000571,1372640000000000000,2013-07-01 00:33:13,4.28,10.0,25.7,69.1,26.2,0,2.2,1,0,0,1.25,0,72.9,0,0,20.9,LOW
20000154,1372640000000000000,2013-07-01 00:26:01,2.85,7.0,24.4,60.8,19.6,0,1.0,0,0,0,1.77,0,87.5,0,0,18.7,LOW
20000089,1372640000000000000,2013-07-01 00:50:57,5.01,8.5,35.4,78.2,22.4,0,0.5,0,0,0,1.2,0,37.3,1,11,34.2,MEDIUM
20000231,1372640000000000000,2013-07-01 00:38:16,14.18,13.2,64.2,124.7,38.0,0,0.2,1,20,0,1.47,0,66.5,1,10,38.1,MEDIUM
20000570,1372640000000000000,2013-07-01 00:45:36,14.52,36.0,24.2,62.2,17.8,0,1.2,0,0,1,7.55,0,68.7,0,0,37.9,MEDIUM
20000060,1372640000000000000,2013-07-01 00:40:41,9.17,16.5,33.4,71.8,16.3,0,0.2,0,0,0,1.71,0,49.4,0,0,15.5,LOW
20000596,1372640000000000000,2013-07-01 01:09:03,4.52,14.5,18.7,121.7,20.5,0,1.8,1,1,1,3.24,0,74.4,1,28,46.1,MEDIUM
20000231,1372640000000000000,2013-07-01 01:26:31,1.92,2.8,41.8,67.3,16.8,0,0.2,0,0,0,1.11,0,38.6,1,6,29.3,LOW
20000005,1372640000000000000,2013-07-01 01:15:28,3.73,6.8,33.1,59.5,15.5,0,0.2,0,0,0,1.33,0,116.4,1,15,27.6,LOW
20000657,1372640000000000000,2013-07-01 01:22:22,4.49,6.0,44.9,73.4,21.7,0,0.2,0,0,0,1.24,0,25.2,0,0,22.8,LOW
20000167,1372640000000000000,2013-07-01 00:02:36,3.75,7.8,29.0,50.5,12.7,0,0.2,0,0,0,1.39,0,48.8,1,12,26.1,LOW
20000653,1372640000000000000,2013-07-01 01:13:17,1.83,5.8,19.1,50.6,15.1,0,0.5,0,0,0,1.3,0,33.9,1,15,31.1,MEDIUM
20000403,1372640000000000000,2013-07-01 00:45:21,8.71,6.0,87.1,105.8,18.5,0,0.0,1,19,0,1.73,0,38.0,0,0,26.9,LOW
20000503,1372640000000000000,2013-07-01 00:07:10,4.01,9.5,25.3,66.8,18.3,0,0.2,0,0,0,2.73,0,65.6,0,0,23.2,LOW
20000372,1372640000000000000,2013-07-01 01:21:30,4.18,10.0,25.1,56.6,18.0,0,1.0,0,0,0,1.3,0,78.6,1,15,29.7,LOW
20000621,1372640000000000000,2013-07-01 00:27:31,14.35,8.5,101.3,1129.6,257.0,0,0.5,1,2,1,3.29,0,50.5,1,3,43.7,MEDIUM
20000653,1372640000000000000,2013-07-01 01:38:26,1.32,3.8,21.2,50.7,16.6,0,0.5,0,0,0,1.51,0,56.3,0,0,14.7,LOW
20000571,1372640000000000000,2013-07-01 01:22:29,7.45,12.2,36.5,536.1,103.6,0,1.0,1,2,1,4.83,0,78.7,1,26,59.8,HIGH
20000570,1372640000000000000,2013-07-01 01:29:28,3.29,6.8,29.2,54.2,16.7,0,0.5,0,0,1,6.47,0,71.3,0,0,36.6,MEDIUM
20000463,1372640000000000000,2013-07-01 00:42:38,7.13,9.8,43.9,175.4,26.3,0,0.0,1,1,0,1.26,0,35.6,0,0,24.3,LOW
20000060,1372640000000000000,2013-07-01 01:29:38,7.17,19.2,22.3,91.3,26.6,0,2.5,1,3,0,2.39,0,68.8,0,0,30.8,MEDIUM
20000612,1372640000000000000,2013-07-01 01:20:00,3.83,7.5,30.7,63.7,20.0,0,1.2,0,0,0,2.06,0,58.1,0,0,21.0,LOW
20000360,1372640000000000000,2013-07-01 00:01:36,8.51,10.5,48.6,427.8,85.8,0,0.2,1,2,0,2.82,0,67.0,1,1,34.6,MEDIUM
20000463,1372640000000000000,2013-07-01 01:53:38,1.67,4.2,23.6,33.2,7.8,0,0.0,0,0,0,2.08,0,91.0,1,2,18.0,LOW
20000520,1372640000000000000,2013-07-01 00:30:41,4.84,15.0,19.3,53.9,17.8,0,1.5,0,0,0,1.69,0,50.3,1,10,32.4,MEDIUM
20000574,1372640000000000000,2013-07-01 01:11:28,10.26,11.2,54.7,112.8,36.0,0,1.0,1,15,0,1.47,0,53.3,0,0,23.8,LOW
20000320,1372640000000000000,2013-07-01 01:14:57,6.8,8.0,51.0,79.3,13.5,0,0.0,0,0,0,1.31,0,22.0,0,0,18.6,LOW
20000560,1372640000000000000,2013-07-01 01:10:48,3.91,6.0,39.1,82.6,21.6,0,0.5,0,1,0,2.16,0,59.5,0,0,24.0,LOW
20000492,1372640000000000000,2013-07-01 01:54:16,4.91,9.8,30.2,67.8,21.9,0,1.0,0,0,0,1.22,0,53.9,1,6,31.8,MEDIUM
20000154,1372640000000000000,2013-07-01 01:24:18,1.29,5.0,15.5,60.0,17.3,0,1.0,0,0,0,1.79,0,48.0,1,8,32.3,MEDIUM
20000112,1372640000000000000,2013-07-01 00:25:03,8.63,28.8,18.0,67.5,19.7,0,3.8,0,0,1,3490.73,0,64.2,1,13,56.3,HIGH
20000305,1372640000000000000,2013-07-01 01:27:51,11.09,16.0,41.6,115.6,27.0,0,0.8,1,6,0,2.9,0,59.0,1,9,47.5,MEDIUM
20000520,1372640000000000000,2013-07-01 02:03:55,2.29,5.8,23.9,51.7,13.2,0,0.2,0,0,0,2.76,0,44.9,1,21,35.0,MEDIUM
20000173,1372640000000000000,2013-07-01 02:04:30,2.39,5.8,24.9,46.6,13.8,0,0.0,0,0,0,1.95,0,35.0,1,6,33.4,MEDIUM
20000004,1372640000000000000,2013-07-01 01:36:09,1.83,5.0,22.0,35.2,11.0,0,0.2,0,0,0,2.09,0,38.1,1,2,22.6,LOW
20000620,1372640000000000000,2013-07-01 00:22:38,1.66,6.0,16.6,43.7,14.5,0,0.5,0,0,0,1.3,0,135.1,1,25,27.0,LOW
20000671,1372640000000000000,2013-07-01 00:15:28,2.43,8.2,17.7,52.8,13.5,0,0.5,0,0,0,2.13,0,50.8,1,15,31.5,MEDIUM
20000341,1372640000000000000,2013-07-01 00:10:23,7.84,12.2,38.4,181.1,31.2,0,0.2,1,3,0,1.3,0,67.3,1,1,25.1,LOW
20000015,1372640000000000000,2013-07-01 00:42:44,2.03,10.2,11.9,54.4,15.6,0,3.2,0,0,0,1.08,0,105.0,0,0,13.6,LOW
20000307,1372640000000000000,2013-07-01 02:07:56,2.03,6.0,20.3,56.9,20.6,0,1.2,0,0,0,1.04,0,123.6,1,19,30.0,MEDIUM
20000435,1372640000000000000,2013-07-01 01:22:04,1.9,5.5,20.7,43.2,12.8,0,0.2,0,0,0,2.63,0,70.5,0,0,18.9,LOW
20000171,1372640000000000000,2013-07-01 00:20:31,1.86,3.8,29.8,57.3,15.9,0,0.5,0,0,0,1.7,0,94.5,1,12,30.4,MEDIUM
20000201,1372640000000000000,2013-07-01 00:43:00,5.5,13.8,24.0,58.2,18.5,0,1.0,0,0,0,1.64,0,91.5,1,14,32.2,MEDIUM
20000007,1372640000000000000,2013-07-01 00:15:54,47.97,26.0,110.7,2798.0,374.4,0,1.2,1,39,0,2.65,0,60.6,0,0,31.3,MEDIUM
20000199,1372640000000000000,2013-07-01 00:44:35,10.38,17.5,35.6,80.9,21.3,0,1.2,0,1,1,3.67,0,50.5,0,0,33.9,MEDIUM
